gm_name,n_grams,counts,percent
,пп тройник,8,0.14303593777936707
,пп труба,11,0.19667441444662973
,пп угольник,5,0.08939746111210442
,пп фильтр,4,0.07151796888968354
,праздник hj,2,0.03575898444484177
,предметов тм,3,0.05363847666726265
,прижимн прикатки,2,0.03575898444484177
,прикатки обоев,2,0.03575898444484177
,прикатки покрытий,3,0.05363847666726265
,провод сип,2,0.03575898444484177
,прожектор светодиодный,3,0.05363847666726265
,прозрачный логотипа,2,0.03575898444484177
,прозрачный мл,3,0.05363847666726265
,прокалывающий згоп,4,0.07151796888968354
,пропитка бань,2,0.03575898444484177
,протекторы фетровые,3,0.05363847666726265
,противоскользящая ковров,2,0.03575898444484177
,противоскользящая средней,2,0.03575898444484177
,профиль уголок,9,0.16091543000178796
,прямая ip,2,0.03575898444484177
,прямая бронза,2,0.03575898444484177
,прямоугольная планка,4,0.07151796888968354
,пф пола,4,0.07151796888968354
,разметкой бухта,2,0.03575898444484177
,разметочная порошковая,2,0.03575898444484177
,разъемная американка,9,0.16091543000178796
,ранчо shinglas,3,0.05363847666726265
,распорный цветной,8,0.14303593777936707
,растворителя баз,2,0.03575898444484177
,раструбное ртп,3,0.05363847666726265
,резина скребок,2,0.03575898444484177
,резина щетка,2,0.03575898444484177
,резьбовая ртп,3,0.05363847666726265
,рейка гладкая,3,0.05363847666726265
,ремонта сколов,19,0.33971035222599677
,ресурс miraya,3,0.05363847666726265
,решетка грязезащитная,4,0.07151796888968354
,решётка грязезащитная,3,0.05363847666726265
,ригелем аллюр,2,0.03575898444484177
,ригеля riccardi,3,0.05363847666726265
,рисунком смх,2,0.03575898444484177
,рк резина,2,0.03575898444484177
,розетка настенная,2,0.03575898444484177
,розетка стационарная,2,0.03575898444484177
,розетты напольные,43,0.768818165564098
,рознич упак,2,0.03575898444484177
,рокко резина,2,0.03575898444484177
,ролик прижимн,2,0.03575898444484177
,ролик прикатки,3,0.05363847666726265
,рр подошва,2,0.03575898444484177
,рс прямая,2,0.03575898444484177
,ру dendor,3,0.05363847666726265
,рустовка типа,2,0.03575898444484177
,ручка скоба,3,0.05363847666726265
,ручки дверные,5,0.08939746111210442
,ручкой ртп,2,0.03575898444484177
,ручное устроиство,4,0.07151796888968354
,ручной запорный,2,0.03575898444484177
,сан ремо,4,0.07151796888968354
,санитарный sanisil,2,0.03575898444484177
,саун master,2,0.03575898444484177
,сварки коммерческого,5,0.08939746111210442
,светильник светодиодный,4,0.07151796888968354
,светло голубая,2,0.03575898444484177
,светодиодный встраиваемый,2,0.03575898444484177
,светодиодный сдо,2,0.03575898444484177
,сгоном белая,2,0.03575898444484177
,сгоном угловой,3,0.05363847666726265
,сдо вт,2,0.03575898444484177
,сер бел,2,0.03575898444484177
,сер сер,3,0.05363847666726265
,серо зеленый,2,0.03575898444484177
,серый матовый,2,0.03575898444484177
,серый рост,2,0.03575898444484177
,сетка противоскользящая,2,0.03575898444484177
,сетчатый вр,4,0.07151796888968354
,силиконовый санитарный,3,0.05363847666726265
,силиконовый универсальный,2,0.03575898444484177
,сип ту,2,0.03575898444484177
,склеивания ковролина,3,0.05363847666726265
,скоба рс,3,0.05363847666726265
,сколов ламинате,18,0.3218308600035759
,скотч напольный,2,0.03575898444484177
,слоновая кость,2,0.03575898444484177
,смесителя длин,3,0.05363847666726265
,смесителя корот,3,0.05363847666726265
,смх серый,2,0.03575898444484177
,смх смх,2,0.03575898444484177
,соединители термоусаживаемые,2,0.03575898444484177
,соединитель rico,10,0.17879492222420884
,сонома lindis,2,0.03575898444484177
,сорт ав,12,0.2145539066690506
,сорт хвоя,2,0.03575898444484177
,сосна серебристая,5,0.08939746111210442
,средней зернистости,2,0.03575898444484177
,средство пола,2,0.03575898444484177
,средство стекол,2,0.03575898444484177
,средство чистки,3,0.05363847666726265
,средство чистящ,3,0.05363847666726265
,срезания шнура,2,0.03575898444484177
,ст оц,6,0.1072769533345253
,стандарт чистки,3,0.05363847666726265
,старая бронза,2,0.03575898444484177
,стационарная полиамид,2,0.03575898444484177
,стекловолокном pn,3,0.05363847666726265
,стен потолков,6,0.1072769533345253
,стп magnus,2,0.03575898444484177
,строительная вихрь,2,0.03575898444484177
,стройбриг генфир,2,0.03575898444484177
,стройбриг гиплан,2,0.03575898444484177
